,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,sys.type,sys.id,snow.1h,message,rain.1h
81,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826130.0,19800.0,1259411.0,Ponnāni,200,75.9252,10.767,78.12,79.9,78.12,78.12,1010.0,91.0,1010.0,1009.0,4.0,138.0,7.54,100.0,IN,1636764674.0,1636806605.0,1.0,9209.0,,,
82,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,1841.0,1636826130.0,46800.0,2194098.0,Ahipara,200,173.1667,-35.1667,66.74,67.77,66.74,66.74,1004.0,99.0,1004.0,1003.0,14.47,329.0,32.64,100.0,NZ,1636823639.0,1636873777.0,,,,,0.11
83,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",stations,2500.0,1636826131.0,0.0,3412093.0,Vestmannaeyjar,200,-20.2734,63.4427,47.39,37.2,47.39,47.39,992.0,100.0,,,40.29,130.0,51.79,20.0,IS,1636796274.0,1636821185.0,1.0,93.0,,,
85,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1636826131.0,7200.0,964432.0,Port Alfred,200,26.891,-33.5906,64.85,65.03,64.85,64.85,1016.0,85.0,1016.0,1014.0,14.61,246.0,24.4,75.0,ZA,1636772561.0,1636822257.0,,,,,
87,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,66.0,1636826132.0,3600.0,3175096.0,Laas,200,10.7002,46.6166,43.27,43.27,29.84,45.34,1014.0,99.0,1014.0,914.0,2.89,142.0,3.6,100.0,IT,1636784199.0,1636818391.0,2.0,2002891.0,,,
88,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,747.0,1636826132.0,43200.0,4031574.0,Provideniya,200,-173.3,64.3833,23.63,19.09,23.63,23.63,1016.0,99.0,1016.0,1015.0,3.49,231.0,4.79,98.0,RU,1636920154.0,1636943586.0,,,,,
89,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1636826133.0,-10800.0,3466704.0,Castro,200,-50.0119,-24.7911,71.58,70.61,71.58,71.58,1013.0,46.0,1013.0,904.0,6.22,103.0,5.79,1.0,BR,1636791956.0,1636839779.0,,,,,
90,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1636826133.0,46800.0,2206874.0,Waipawa,200,175.5153,-41.4122,56.35,55.36,55.29,58.46,994.0,78.0,994.0,965.0,18.86,316.0,42.81,13.0,NZ,1636822218.0,1636874070.0,2.0,2017525.0,,,
91,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,6000.0,1636826134.0,-36000.0,4035715.0,Avarua,200,-159.775,-21.2078,69.85,71.24,69.85,69.85,1011.0,100.0,,,5.75,60.0,,75.0,CK,1636818635.0,1636865792.0,1.0,7271.0,,,1.12
92,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826134.0,0.0,2629833.0,Husavik,200,-17.3389,66.0449,46.31,36.7,46.31,46.31,1002.0,90.0,1002.0,1001.0,32.3,127.0,53.24,100.0,IS,1636796990.0,1636819060.0,1.0,83.0,,,
93,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1636826134.0,-21600.0,4705041.0,Lakeway,200,-97.9796,30.3638,64.27,61.9,60.42,68.22,1026.0,32.0,,,1.01,244.0,1.01,1.0,US,1636808181.0,1636846581.0,2.0,2037055.0,,,
94,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1636826135.0,-3600.0,3374210.0,São Filipe,200,-24.4956,14.8961,74.86,75.56,74.86,74.86,1011.0,75.0,1011.0,999.0,8.3,17.0,9.75,50.0,CV,1636789117.0,1636830368.0,,,,,
95,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1636826135.0,0.0,2381972.0,Adrar,200,-10.0711,20.5022,83.41,81.36,83.41,83.41,1010.0,28.0,1010.0,967.0,5.91,204.0,6.17,54.0,MR,1636786132.0,1636826429.0,,,,,
96,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826136.0,19800.0,1266976.0,Kharagpur,200,87.3333,22.3333,71.49,72.01,71.49,71.49,1013.0,78.0,1013.0,1008.0,3.76,84.0,6.69,93.0,IN,1636762908.0,1636802894.0,,,,,
97,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1636826136.0,-18000.0,3948613.0,Acarí,200,-74.6158,-15.4311,77.65,77.56,77.65,77.65,1012.0,52.0,1012.0,994.0,12.21,191.0,9.73,57.0,PE,1636798715.0,1636844831.0,,,,,
98,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,4172.0,1636826136.0,-10800.0,3424607.0,Tasiilaq,200,-37.6368,65.6145,28.71,16.66,28.71,28.71,987.0,84.0,987.0,982.0,16.91,31.0,32.46,100.0,GL,1636801609.0,1636824185.0,,,0.3,,
100,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1636826137.0,-10800.0,3381303.0,Kourou,200,-52.6478,5.1552,81.1,83.97,78.85,81.1,1008.0,65.0,1008.0,1007.0,8.34,42.0,8.19,69.0,GF,1636795094.0,1636837906.0,2.0,2038747.0,,,
101,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1636826137.0,-10800.0,3471451.0,Arraial do Cabo,200,-42.0278,-22.9661,71.46,71.11,71.46,71.56,1018.0,60.0,,,10.36,160.0,,75.0,BR,1636790216.0,1636837686.0,1.0,8326.0,,,
102,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826138.0,25200.0,1630789.0,Pontianak,200,109.3333,-0.0333,77.99,79.92,77.99,78.78,1009.0,94.0,,,2.3,90.0,,90.0,ID,1636842218.0,1636885842.0,2.0,2021448.0,,,
103,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1636826100.0,3600.0,2911522.0,Halle,200,12.0,51.5,45.93,42.96,42.39,47.32,1014.0,82.0,,,5.75,190.0,,75.0,DE,1636784804.0,1636817162.0,2.0,2009349.0,,,
104,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1636826138.0,28800.0,1809263.0,Guozhen,200,107.359,34.3659,46.71,46.71,46.71,46.71,1023.0,34.0,1023.0,957.0,2.95,250.0,4.61,0.0,CN,1636845762.0,1636883246.0,,,,,
105,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000.0,1636826107.0,-10800.0,3860443.0,Comodoro Rivadavia,200,-67.5,-45.8667,62.46,61.79,62.46,62.46,1006.0,72.0,,,8.05,80.0,,40.0,AR,1636793430.0,1636846700.0,1.0,8284.0,,,0.19
106,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1636826139.0,3600.0,3347719.0,Luena,200,19.9167,-11.7833,66.24,66.22,66.24,66.24,1011.0,78.0,1011.0,867.0,3.13,335.0,3.13,83.0,AO,1636776335.0,1636821830.0,,,,,0.55
107,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1636826139.0,-18000.0,5983720.0,Iqaluit,200,-68.5145,63.7506,-2.31,-14.91,-2.47,-2.31,1021.0,77.0,,,20.0,320.0,,20.0,CA,1636808026.0,1636832591.0,2.0,47658.0,,,
108,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1636826140.0,-10800.0,3421765.0,Nanortalik,200,-45.2371,60.1432,22.12,9.52,22.12,22.12,996.0,66.0,996.0,995.0,19.91,305.0,22.55,0.0,GL,1636800916.0,1636828526.0,,,,,
109,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1636826140.0,3600.0,245338.0,Am Timan,200,20.2827,11.0297,85.95,83.07,85.95,85.95,1007.0,24.0,1007.0,959.0,1.34,239.0,1.9,2.0,TD,1636778052.0,1636819937.0,,,,,
110,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1636825938.0,-18000.0,5122534.0,Jamestown,200,-79.2353,42.097,35.85,27.23,33.71,38.08,1006.0,83.0,,,13.0,228.0,21.99,90.0,US,1636805102.0,1636840662.0,2.0,2008828.0,,,
112,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,3783.0,1636826141.0,32400.0,7671223.0,Kloulklubed,200,134.2556,7.0419,79.38,79.38,79.38,79.38,1007.0,87.0,1007.0,1007.0,7.9,83.0,8.08,100.0,PW,1636836794.0,1636879301.0,,,,,
113,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1636826062.0,-10800.0,3430863.0,Mar del Plata,200,-57.5575,-38.0023,62.87,62.76,62.87,68.02,1012.0,83.0,,,35.01,62.0,42.99,0.0,AR,1636792261.0,1636843096.0,2.0,2000296.0,,,
114,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826141.0,32400.0,2112802.0,Hasaki,200,140.8333,35.7333,45.0,38.7,39.49,45.0,1019.0,52.0,1019.0,1018.0,13.38,217.0,17.09,98.0,JP,1636837882.0,1636875056.0,1.0,7955.0,,,
115,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1636826142.0,28800.0,2068110.0,Kununurra,200,128.7333,-15.7667,82.38,81.32,82.38,82.38,1009.0,36.0,,,4.61,160.0,,75.0,AU,1636836277.0,1636882469.0,1.0,9587.0,,,
116,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1636826142.0,-10800.0,3883457.0,Lebu,200,-73.65,-37.6167,55.94,54.19,55.94,55.94,1024.0,63.0,1024.0,1020.0,10.56,220.0,10.31,31.0,CL,1636796173.0,1636846909.0,,,,,
117,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1636826143.0,7200.0,3366880.0,Hermanus,200,19.2345,-34.4187,63.81,63.73,63.81,64.9,1019.0,82.0,1019.0,1015.0,6.62,214.0,9.46,41.0,ZA,1636774298.0,1636824195.0,2.0,2006131.0,,,
118,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1636826143.0,-21600.0,4448903.0,Tupelo,200,-88.7034,34.2576,48.16,44.4,47.46,50.25,1022.0,44.0,,,8.3,312.0,10.6,1.0,US,1636806378.0,1636843931.0,2.0,47724.0,,,
120,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1636826144.0,28800.0,2071860.0,Esperance,200,121.9,-33.8667,46.24,41.52,46.24,46.24,1023.0,76.0,1023.0,1023.0,9.62,89.0,12.91,7.0,AU,1636836097.0,1636885930.0,1.0,9525.0,,,
121,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826144.0,39600.0,2126199.0,Cherskiy,200,161.3,68.75,13.33,4.55,13.33,13.33,1011.0,92.0,1011.0,1011.0,5.5,36.0,6.04,100.0,RU,1636842738.0,1636860375.0,,,,,
122,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",stations,6437.0,1636826144.0,-28800.0,5572400.0,Susanville,200,-120.653,40.4163,43.27,41.59,37.11,51.1,971.0,65.0,,,3.44,200.0,,1.0,US,1636814816.0,1636850830.0,1.0,5946.0,,,
123,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1636826145.0,7200.0,3355672.0,Lüderitz,200,15.1594,-26.6481,71.73,71.1,71.73,71.73,1010.0,53.0,1010.0,1006.0,13.91,172.0,21.85,41.0,NA,1636776134.0,1636824315.0,,,,,
124,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1636826145.0,3600.0,3129371.0,Arroyo de la Encomienda,200,-4.7969,41.6096,52.0,50.14,48.24,55.18,1023.0,69.0,,,5.75,20.0,,0.0,ES,1636787152.0,1636822877.0,2.0,2033349.0,,,
126,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1636826146.0,3600.0,3176748.0,Forio,200,13.8646,40.7342,60.49,59.43,57.78,62.46,1016.0,68.0,1016.0,1010.0,5.3,218.0,5.91,62.0,IT,1636782549.0,1636818522.0,2.0,2003237.0,,,
127,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826146.0,32400.0,1853354.0,Ryūō,200,138.5,35.65,40.15,40.15,38.53,40.17,1018.0,87.0,,,1.45,1.0,1.66,92.0,JP,1636838433.0,1636875625.0,2.0,2009407.0,,,
128,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1636826147.0,3600.0,2729907.0,Longyearbyen,200,15.6401,78.2186,10.24,-2.36,10.24,10.24,1022.0,56.0,,,13.8,320.0,,20.0,SJ,0.0,0.0,1.0,1663.0,,,
129,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826147.0,10800.0,546105.0,Nikolskoye,200,30.7861,59.7035,36.55,34.39,34.79,37.29,1026.0,96.0,1026.0,1022.0,3.06,272.0,3.02,85.0,RU,1636782484.0,1636810464.0,1.0,8926.0,,,
131,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1636826148.0,7200.0,2214432.0,Nālūt,200,10.85,30.3333,71.78,70.16,71.78,71.78,1010.0,32.0,1010.0,952.0,10.42,111.0,12.62,79.0,LY,1636782043.0,1636820475.0,,,,,
132,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1636826148.0,19800.0,1254709.0,Tezu,200,96.1667,27.9167,63.86,61.83,63.86,63.86,1015.0,40.0,1015.0,990.0,4.45,47.0,4.09,13.0,IN,1636761311.0,1636800250.0,,,,,
133,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1636826148.0,14400.0,934479.0,Grand Gaube,200,57.6608,-20.0064,77.38,78.3,77.38,77.4,1020.0,74.0,,,7.0,97.0,11.99,12.0,MU,1636766571.0,1636813476.0,2.0,2002134.0,,,0.24
135,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1636826149.0,-10800.0,3445026.0,Vila Velha,200,-40.2925,-20.3297,65.95,66.52,65.95,69.75,1018.0,91.0,,,8.01,158.0,13.0,90.0,BR,1636790045.0,1636837023.0,2.0,2012383.0,,,
136,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1636826149.0,-3600.0,3372707.0,Ribeira Grande,200,-28.7,38.5167,63.0,62.38,63.0,63.0,1013.0,72.0,,,11.5,330.0,,75.0,PT,1636792480.0,1636829024.0,1.0,6883.0,,,
137,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1636826150.0,3600.0,2445704.0,Diffa,200,12.6113,13.3154,86.2,82.8,86.2,86.2,1008.0,14.0,1008.0,974.0,9.55,62.0,16.62,51.0,NE,1636780079.0,1636821593.0,,,,,
138,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1636826150.0,39600.0,2138592.0,Pouembout,200,164.9,-21.1333,74.75,75.97,74.75,74.75,1012.0,86.0,1012.0,1011.0,2.89,60.0,2.93,9.0,NC,1636827118.0,1636874267.0,,,,,
139,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1636826151.0,28800.0,1795632.0,Shenjiamen,200,122.298,29.9576,56.84,55.51,56.84,56.84,1022.0,70.0,1022.0,1015.0,6.98,219.0,7.23,4.0,CN,1636841692.0,1636880145.0,,,,,
140,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1636826151.0,-10800.0,3466980.0,Caravelas,200,-39.2481,-17.7125,70.63,71.2,70.63,70.63,1014.0,81.0,1014.0,1014.0,12.35,160.0,20.74,100.0,BR,1636790029.0,1636836538.0,,,,,
141,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,8928.0,1636826102.0,-32400.0,5880054.0,Barrow,200,-156.7887,71.2906,8.87,8.87,8.87,8.87,1018.0,95.0,1018.0,1017.0,2.95,219.0,4.59,100.0,US,1636835930.0,1636847063.0,,,,,
142,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1636826152.0,10800.0,554397.0,Kalach-na-Donu,200,43.5264,48.691,38.39,32.83,38.37,40.32,1026.0,76.0,1026.0,1021.0,7.63,331.0,15.55,7.0,RU,1636776677.0,1636810154.0,5.0,50006819.0,,,
143,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1636826152.0,-18000.0,5924351.0,Clyde River,200,-68.5914,70.4692,-3.77,-16.37,-3.77,-3.77,1017.0,77.0,,,14.97,290.0,,20.0,CA,1636813345.0,1636827309.0,1.0,776.0,,,
144,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826152.0,3600.0,3136690.0,Stokmarknes,200,14.9108,68.5646,37.38,30.58,37.38,42.49,1023.0,71.0,1023.0,1023.0,9.62,332.0,15.08,97.0,NO,1636791119.0,1636809449.0,2.0,2006157.0,,,
145,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,10000.0,1636825891.0,-32400.0,5861897.0,Fairbanks,200,-147.7164,64.8378,-5.04,-5.04,-11.2,0.3,1016.0,82.0,,,0.0,0.0,,75.0,US,1636827646.0,1636850992.0,1.0,7684.0,,,
146,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000.0,1636826153.0,0.0,2273435.0,Tubmanburg,200,-10.8172,6.8708,77.95,79.68,77.95,77.95,1009.0,90.0,1009.0,1001.0,3.0,206.0,3.8,90.0,LR,1636785188.0,1636827732.0,,,,,0.86
147,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1636826153.0,18000.0,1486321.0,Yar-Sale,200,70.8333,66.8333,4.21,-8.39,4.21,4.21,1004.0,80.0,1004.0,1003.0,10.65,317.0,22.19,2.0,RU,1636776291.0,1636797432.0,,,,,
148,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1636826154.0,39600.0,2155562.0,Nelson Bay,200,152.15,-32.7167,56.68,55.15,52.29,58.75,1006.0,66.0,,,1.99,332.0,5.99,36.0,AU,1636828977.0,1636878529.0,2.0,2035231.0,,,
149,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,5687.0,1636826154.0,25200.0,1563281.0,Tuy Hoa,200,109.3,13.0833,75.85,77.59,75.85,75.85,1012.0,95.0,1012.0,1010.0,6.49,19.0,11.41,100.0,VN,1636843274.0,1636884802.0,,,,,
150,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1636826154.0,-10800.0,3894406.0,Coihueco,200,-71.8333,-36.6167,63.34,61.07,63.34,63.34,1022.0,36.0,,,4.61,250.0,,75.0,CL,1636795869.0,1636846342.0,1.0,8483.0,,,
151,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1636826155.0,7200.0,964420.0,Port Elizabeth,200,25.5701,-33.918,66.49,66.22,66.09,66.49,1015.0,72.0,,,27.63,230.0,,20.0,ZA,1636772839.0,1636822613.0,1.0,1973.0,,,
152,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826155.0,3600.0,2910831.0,Hanover,200,9.7332,52.3705,45.43,44.51,42.85,47.34,1013.0,86.0,,,3.0,0.0,,90.0,DE,1636785536.0,1636817518.0,2.0,2034345.0,,,
153,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1636826156.0,46800.0,2191562.0,Dunedin,200,170.5036,-45.8742,54.81,53.1,54.81,54.81,1024.0,66.0,,,3.0,1.0,7.0,100.0,NZ,1636822685.0,1636876010.0,2.0,75281.0,,,
154,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1636826156.0,12600.0,118704.0,Rāvar,200,56.8055,31.2656,53.51,50.49,53.51,53.51,1023.0,41.0,1023.0,890.0,1.07,283.0,3.13,0.0,IR,1636771105.0,1636809352.0,,,,,
156,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1636826157.0,28800.0,1785036.0,Zhangye,200,100.4517,38.9342,29.12,29.12,29.12,29.12,1027.0,41.0,1027.0,855.0,1.21,158.0,1.72,30.0,CN,1636847980.0,1636884343.0,,,,,
157,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1636826157.0,10800.0,304183.0,Bayir,200,28.2167,37.2687,52.32,50.88,52.32,52.32,1021.0,77.0,1021.0,971.0,1.41,145.0,1.59,83.0,TR,1636778653.0,1636815528.0,1.0,7016.0,,,
158,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1636826157.0,12600.0,118063.0,Sabzawār,200,57.6819,36.2126,48.33,48.33,48.33,48.33,1023.0,59.0,1023.0,911.0,2.39,18.0,3.18,35.0,IR,1636771449.0,1636808587.0,,,,,
159,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826158.0,25200.0,1505506.0,Zavyalovo,200,82.4484,54.5053,28.18,16.68,22.84,29.25,1017.0,83.0,1017.0,1002.0,15.05,202.0,22.79,95.0,RU,1636855074.0,1636885892.0,1.0,8958.0,,,
160,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1636826158.0,14400.0,933995.0,Souillac,200,57.5167,-20.5167,77.38,78.71,77.36,77.38,1020.0,83.0,,,11.5,80.0,,40.0,MU,1636766559.0,1636813556.0,1.0,2061.0,,,
162,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,756.0,1636826159.0,32400.0,2015306.0,Tiksi,200,128.8694,71.6872,0.25,-11.2,0.25,0.25,1012.0,98.0,1012.0,1007.0,5.7,96.0,9.04,100.0,RU,1636854709.0,1636863972.0,,,,,
163,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1636826159.0,-18000.0,4946620.0,Palmer,200,-72.3287,42.1584,58.91,56.86,54.43,62.62,1005.0,50.0,,,8.99,181.0,18.01,40.0,US,1636803452.0,1636838996.0,2.0,2010865.0,,,
164,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1636826159.0,36000.0,2119447.0,Yuzhno-Kurilsk,200,145.8556,44.0306,43.47,42.3,43.47,43.47,1016.0,73.0,1016.0,1016.0,3.0,198.0,3.98,4.0,RU,1636837797.0,1636872730.0,,,,,
165,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,3575.0,1636826160.0,43200.0,2123814.0,Leningradskiy,200,178.4167,69.3833,9.23,-0.31,9.23,9.23,1017.0,96.0,1017.0,1017.0,5.5,285.0,8.68,98.0,RU,1636839259.0,1636855637.0,,,,,
166,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1636826160.0,-14400.0,3628473.0,San Cristobal,200,-72.225,7.7669,78.98,78.98,78.98,78.98,1009.0,40.0,1009.0,912.0,5.01,132.0,7.78,99.0,VE,1636799999.0,1636842399.0,1.0,8587.0,,,
167,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1636826161.0,0.0,2270385.0,Camacha,200,-16.3333,33.0833,67.41,66.85,66.96,67.53,1017.0,64.0,,,10.36,30.0,,20.0,PT,1636788866.0,1636826702.0,1.0,6902.0,,,
168,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1636826161.0,10800.0,504269.0,Pudozh,200,36.5345,61.8099,28.38,28.38,28.38,28.38,1025.0,86.0,1025.0,1018.0,2.91,46.0,3.09,37.0,RU,1636781892.0,1636808296.0,,,,,
169,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,10000.0,1636826162.0,-25200.0,6089245.0,Norman Wells,200,-126.8329,65.282,10.44,-1.46,10.44,10.44,1012.0,79.0,,,8.05,290.0,,75.0,CA,1636822874.0,1636845739.0,1.0,951.0,,,
170,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826162.0,3600.0,754454.0,Wyszków,200,21.4584,52.5928,44.01,39.56,39.97,45.14,1019.0,87.0,1019.0,1008.0,7.81,112.0,18.41,100.0,PL,1636782767.0,1636814658.0,2.0,2033071.0,,,
171,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1636825826.0,-18000.0,3936456.0,Lima,200,-77.0282,-12.0432,66.45,66.24,66.45,67.14,1014.0,73.0,,,8.05,290.0,,75.0,PE,1636799579.0,1636845125.0,1.0,8682.0,,,
172,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826163.0,32400.0,1634614.0,Nabire,200,135.4833,-3.3667,76.53,78.26,76.53,76.53,1008.0,93.0,1008.0,1007.0,3.96,142.0,3.83,100.0,ID,1636835677.0,1636879829.0,,,,,
173,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,9341.0,1636826163.0,39600.0,2171099.0,Codrington,200,141.9667,-38.2667,41.94,34.83,41.94,41.94,1004.0,97.0,1004.0,1002.0,13.33,329.0,26.8,74.0,AU,1636830718.0,1636881676.0,,,,,0.24
174,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1636826164.0,0.0,2264557.0,Ponta do Sol,200,-17.1,32.6667,70.45,70.48,70.12,71.01,1018.0,70.0,1018.0,1018.0,2.75,83.0,4.72,36.0,PT,1636789004.0,1636826931.0,2.0,2008291.0,,,
